"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Mon","Tue","Wed","Thu","Fri","Sat","Sun","dayindex","temp","max","min","dewp","slp","fog","sndp","NUM_REPORTS"
"67",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.00849748937813828,0.426553672316384,0.376415094339623,0.495710200190658,0.448780487804878,0.486348122866895,0,0,0.562076749435666
"68",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.00862623921720098,0.424670433145009,0.388679245283019,0.446139180171592,0.419512195121951,0.556313993174061,0,0,0.580135440180587
"69",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.00875498905626368,0.462335216572505,0.490566037735849,0.446139180171592,0.450731707317073,0.517064846416382,0,0,0.566591422121896
"70",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.00888373889532638,0.479284369114878,0.471698113207547,0.495710200190658,0.502439024390244,0.511945392491468,0,0,0.580135440180587
"71",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.00901248873438908,0.490583804143126,0.473584905660377,0.497616777883699,0.559024390243902,0.40273037542662,0,0,0.523702031602709
"72",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.00914123857345178,0.484934086629002,0.490566037735849,0.514775977121068,0.542439024390244,0.225255972696245,0,0,0.501128668171558
"73",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.00926998841251448,0.507532956685499,0.507547169811321,0.497616777883699,0.539512195121951,0.407849829351536,0,0,0.575620767494357
"74",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.00939873825157718,0.531073446327684,0.480188679245283,0.562440419447092,0.615609756097561,0.392491467576792,0,0,0.54627539503386
"75",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.00952748809063989,0.454802259887006,0.376415094339623,0.514775977121068,0.545365853658537,0.418088737201366,0,0.140909090909091,0.55079006772009
"76",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.00965623792970259,0.443502824858757,0.371698113207547,0.497616777883699,0.501463414634146,0.612627986348123,0,0.140909090909091,0.446952595936795
"77",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.00978498776876529,0.447269303201507,0.452830188679245,0.439466158245949,0.465365853658537,0.759385665529011,0,0.140909090909091,0.577878103837472
"78",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.00991373760782799,0.480225988700565,0.456603773584906,0.497616777883699,0.449756097560976,0.75085324232082,0,0,0.559819413092551
"79",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0100424874468907,0.509416195856874,0.490566037735849,0.525262154432793,0.48,0.6740614334471,0,0,0.598194130925508
