"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Mon","Tue","Wed","Thu","Fri","Sat","Sun","year","slp","dayindex","temp","max","min","dewp","sndp","NUM_REPORTS"
"1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.849829351535837,0,0.259887005649718,0.206603773584906,0.276453765490944,0.32390243902439,0.681818181818182,0.409756097560976
"2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.662116040955632,0.000128766417718259,0.282485875706215,0.286792452830189,0.274547187797903,0.365853658536585,0.645454545454545,0.48780487804878
"3",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.549488054607508,0.000257532835436518,0.376647834274953,0.291509433962264,0.428979980934223,0.462439024390244,0.645454545454545,0.336585365853659
"4",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.295221843003413,0.000386299253154777,0.435969868173258,0.371698113207547,0.463298379408961,0.490731707317073,0.590909090909091,0.473170731707317
"5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.383959044368601,0.000515065670873036,0.379472693032015,0.354716981132076,0.394661582459485,0.425365853658537,0.536363636363636,0.570731707317073
"6",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.387372013651877,0.000643832088591295,0.419962335216573,0.354716981132076,0.463298379408961,0.48390243902439,0.536363636363636,0.55609756097561
"7",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.539249146757678,0.000772598506309554,0.353107344632768,0.291509433962264,0.390848427073403,0.4,0.5,0.28780487804878
"8",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.672354948805459,0.000901364924027814,0.307909604519774,0.254716981132075,0.324118207816969,0.349268292682927,0.5,0.302439024390244
"9",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.62457337883959,0.00103013134174607,0.35969868173258,0.354716981132076,0.394661582459485,0.40780487804878,0.5,0.365853658536585
"10",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.57679180887372,0.00115889775946433,0.413370998116761,0.395283018867924,0.439466158245949,0.463414634146341,0.5,0.424390243902439
"11",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.609215017064846,0.00128766417718259,0.423728813559322,0.367924528301887,0.476644423260248,0.507317073170732,0.413636363636364,0.380487804878049
"12",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.633105802047781,0.00141643059490085,0.451977401129944,0.371698113207547,0.531935176358437,0.542439024390244,0.359090909090909,0.653658536585366
"13",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.482935153583618,0.00154519701261911,0.461393596986817,0.376415094339623,0.525262154432793,0.543414634146342,0.268181818181818,0.560975609756098
"14",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.455631399317406,0.00167396343033737,0.457627118644068,0.371698113207547,0.531935176358437,0.565853658536585,0.177272727272727,0.458536585365854
"15",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.595563139931741,0.00180272984805563,0.419020715630885,0.339622641509434,0.476644423260248,0.502439024390244,0.177272727272727,0.390243902439024
"16",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.680887372013651,0.00193149626577389,0.370998116760829,0.286792452830189,0.446139180171592,0.444878048780488,0.177272727272727,0.351219512195122
"17",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.563139931740615,0.00206026268349215,0.351224105461394,0.320754716981132,0.390848427073403,0.43609756097561,0.140909090909091,0.248780487804878
"18",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.54778156996587,0.0021890291012104,0.384180790960452,0.30377358490566,0.446139180171592,0.448780487804878,0.140909090909091,0.326829268292683
"19",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.653583617747441,0.00231779551892866,0.330508474576271,0.269811320754717,0.394661582459485,0.371707317073171,0.140909090909091,0.648780487804878
"20",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.682593856655291,0.00244656193664692,0.299435028248588,0.283018867924528,0.324118207816969,0.345365853658537,0.140909090909091,0.604878048780488
"21",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.738907849829352,0.00257532835436518,0.327683615819209,0.30377358490566,0.360343183984747,0.380487804878049,0.140909090909091,0.341463414634146
"22",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.621160409556315,0.00270409477208344,0.413370998116761,0.354716981132076,0.446139180171592,0.47609756097561,0.140909090909091,0.439024390243902
"23",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.590443686006825,0.0028328611898017,0.35593220338983,0.30188679245283,0.390848427073403,0.418536585365854,0.140909090909091,0.253658536585366
"24",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.75085324232082,0.00296162760751996,0.335216572504708,0.273584905660377,0.353670162059104,0.357073170731707,0.140909090909091,0.24390243902439
"25",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.532423208191126,0.00309039402523822,0.371939736346516,0.320754716981132,0.399428026692088,0.434146341463415,0.177272727272727,0.341463414634146
"26",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.602389078498294,0.00321916044295648,0.36346516007533,0.320754716981132,0.390848427073403,0.40780487804878,0.177272727272727,0.48780487804878
