"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Mon","Tue","Wed","Thu","Fri","Sat","Sun","year","dayindex","temp","dewp","max","min","fog","NUM_REPORTS"
"26",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2001,0.00321916044295648,0.337254901960784,0.360379346680717,0.294809010773751,0.366699702675917,0,0.649926144756278
"27",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2001,0.00334792686067474,0.287254901960784,0.305584826132771,0.264446620959843,0.32804757185332,0,0.547267355982275
"28",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2001,0.003476693278393,0.411764705882353,0.498419388830348,0.365328109696376,0.442021803766105,0,0.61890694239291
"29",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2001,0.00360545969611125,0.46078431372549,0.553213909378293,0.40254652301665,0.506442021803766,0,0.646971935007385
"30",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2001,0.00373422611382951,0.42843137254902,0.504741833508957,0.333986287952987,0.506442021803766,0,0.630723781388479
"31",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2001,0.00386299253154777,0.373529411764706,0.409905163329821,0.314397649363369,0.395441030723489,0,0.737075332348597
"32",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2001,0.00399175894926603,0.175490196078431,0.177028451001054,0.241919686581783,0.174430128840436,0,0.665435745937962
"33",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2001,0.00412052536698429,0.267647058823529,0.29504741833509,0.277179236043095,0.281466798810704,0,0.627031019202363
"34",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2001,0.00424929178470255,0.422549019607843,0.483667017913593,0.333986287952987,0.464816650148662,0,0.601181683899557
"35",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2001,0.00437805820242081,0.388235294117647,0.452054794520548,0.314397649363369,0.45589692765114,0,0.722304283604136
"36",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2001,0.00450682462013907,0.41078431372549,0.473129610115911,0.363369245837414,0.475718533201189,0,0.635155096011817
"37",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2001,0.00463559103785733,0.366666666666667,0.430979978925184,0.333986287952987,0.386521308225966,1,0.672082717872969
"38",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2001,0.00476435745557559,0.505882352941176,0.570073761854584,0.48873653281097,0.531219028741328,0,0.6698670605613
"39",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2001,0.00489312387329385,0.565686274509804,0.674394099051633,0.506366307541626,0.495540138751239,0,0.701624815361891
"40",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2001,0.0050218902910121,0.295098039215686,0.330874604847208,0.294809010773751,0.317145688800793,0,0.556868537666174
"41",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2001,0.00515065670873036,0.277450980392157,0.270811380400421,0.259549461312439,0.317145688800793,0,0.527326440177253
"42",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2001,0.00527942312644862,0.387254901960784,0.385669125395153,0.365328109696376,0.42418235877106,0,0.664697193500739
"43",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2001,0.00540818954416688,0.442156862745098,0.488935721812434,0.372184133202742,0.506442021803766,0,0.669128508124077
"44",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2001,0.00553695596188514,0.45,0.543730242360379,0.352595494613124,0.506442021803766,1,0.659527326440177
"45",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2001,0.0056657223796034,0.398039215686275,0.445732349841939,0.314397649363369,0.475718533201189,0,0.708271787296898
"46",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2001,0.00579448879732166,0.394117647058824,0.426765015806112,0.312438785504407,0.442021803766105,0,0.648449039881832
"47",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2001,0.00592325521503992,0.246078431372549,0.191780821917808,0.237022526934378,0.258671952428147,0,0.548744460856721
"48",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2001,0.00605202163275818,0.256862745098039,0.208640674394099,0.259549461312439,0.263627353815659,0,0.550221565731167
"49",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2001,0.00618078805047644,0.42843137254902,0.413066385669125,0.422135161606268,0.45589692765114,0,0.646971935007385
"50",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2001,0.0063095544681947,0.437254901960784,0.436248682824025,0.365328109696376,0.45986124876115,0,0.680945347119645
"51",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2001,0.00643832088591295,0.27156862745098,0.162276080084299,0.259549461312439,0.281466798810704,0,0.655834564254062
"52",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2001,0.00656708730363121,0.317647058823529,0.348788198103267,0.259549461312439,0.352824578790882,0,0.584194977843427
"53",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2001,0.00669585372134947,0.341176470588235,0.347734457323498,0.264446620959843,0.356788899900892,0,0.639586410635155
"54",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2001,0.00682462013906773,0.418627450980392,0.478398314014752,0.372184133202742,0.437066402378593,0,0.666174298375185
"55",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2001,0.00695338655678599,0.518627450980392,0.574288724973656,0.541625857002938,0.477700693756194,0,0.610782865583456
"56",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2001,0.00708215297450425,0.4,0.410958904109589,0.382957884427032,0.406342913776016,0,0.641802067946824
"57",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2001,0.00721091939222251,0.37843137254902,0.348788198103267,0.34769833496572,0.42418235877106,0,0.673559822747415
"58",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2001,0.00733968580994077,0.297058823529412,0.172813487881981,0.264446620959843,0.299306243805748,0,0.658050221565731
"59",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2001,0.00746845222765903,0.372549019607843,0.308746048472076,0.400587659157689,0.388503468780971,0,0.929098966026588
"60",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2001,0.00759721864537729,0.438235294117647,0.473129610115911,0.400587659157689,0.495540138751239,0,0.785081240768094
"61",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2001,0.00772598506309554,0.448039215686275,0.479452054794521,0.453476983349657,0.442021803766105,0,0.729689807976366
"62",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2001,0.0078547514808138,0.414705882352941,0.444678609062171,0.365328109696376,0.45986124876115,0,0.610782865583456
"63",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2001,0.00798351789853206,0.347058823529412,0.308746048472076,0.275220372184133,0.366699702675917,0,0.662481536189069
"64",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2001,0.00811228431625032,0.356862745098039,0.334035827186512,0.312438785504407,0.388503468780971,0,0.674298375184638
"65",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2001,0.00824105073396858,0.41078431372549,0.371970495258166,0.431929480901077,0.406342913776016,0,0.763663220088626
"66",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2001,0.00836981715168684,0.402941176470588,0.40463645943098,0.352595494613124,0.475718533201189,0,0.754062038404727
"67",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2001,0.0084985835694051,0.400980392156863,0.373024236037935,0.365328109696376,0.42418235877106,0,0.802067946824225
"68",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2001,0.00862734998712336,0.440196078431373,0.406743940990516,0.471106758080313,0.42418235877106,0,0.688330871491876
"69",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2001,0.00875611640484162,0.457843137254902,0.46259220231823,0.451518119490695,0.475718533201189,0,0.597488921713442
"70",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2001,0.00888488282255988,0.469607843137255,0.523709167544784,0.453476983349657,0.477700693756194,0,0.686115214180207
"71",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2001,0.00901364924027814,0.463725490196078,0.505795574288725,0.471106758080313,0.495540138751239,0,0.706056129985229
"72",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2001,0.00914241565799639,0.487254901960784,0.50263435194942,0.48873653281097,0.477700693756194,0,0.725258493353028
"73",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2001,0.00927118207571465,0.511764705882353,0.584826132771338,0.460333006856024,0.545094152626363,0,0.681683899556869
"74",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2001,0.00939994849343291,0.432352941176471,0.508956796628029,0.352595494613124,0.495540138751239,0,0.680206794682422
"75",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2001,0.00952871491115117,0.420588235294118,0.461538461538462,0.34769833496572,0.477700693756194,0,0.556129985228951
"76",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2001,0.00965748132886943,0.424509803921569,0.422550052687039,0.431929480901077,0.417244796828543,0,0.632939438700148
"77",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2001,0.00978624774658769,0.458823529411765,0.405690200210748,0.435847208619001,0.477700693756194,0,0.74519940915805
"78",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2001,0.00991501416430595,0.48921568627451,0.438356164383562,0.471106758080313,0.506442021803766,0,0.810930576070901
"79",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2001,0.0100437805820242,0.508823529411765,0.426765015806112,0.510284035259549,0.484638255698712,0,0.766617429837518
"80",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2001,0.0101725469997425,0.513725490196078,0.504741833508957,0.539666993143977,0.484638255698712,0,0.767355982274742
"81",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2001,0.0103013134174607,0.52156862745098,0.512118018967334,0.501469147894221,0.526263627353816,0,0.846381093057607
"82",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2001,0.010430079835179,0.419607843137255,0.357218124341412,0.440744368266406,0.445986124876115,0,0.740768094534712
"83",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2001,0.0105588462528972,0.316666666666667,0.292939936775553,0.259549461312439,0.370664023785927,0,0.566469719350074
"84",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2001,0.0106876126706155,0.324509803921569,0.249736564805058,0.312438785504407,0.352824578790882,0,0.650664697193501
"85",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2001,0.0108163790883338,0.409803921568627,0.363540569020021,0.372184133202742,0.426164519326065,0,0.793205317577548
"86",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2001,0.010945145506052,0.456862745098039,0.378292939936776,0.471106758080313,0.45986124876115,0,0.72821270310192
"87",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2001,0.0110739119237703,0.498039215686274,0.511064278187566,0.451518119490695,0.545094152626363,0,0.740029542097489
