"","temp","dewp","max","min","NUM_REPORTS"
"5284",67.4,57.1,82,57,766
"5285",76.8,66.6,87.1,57,783
"5286",78.3,71.4,87.1,70,780
"5287",77.2,61.9,84.9,70,732
"5288",72.3,57.4,81,66,728
"5289",73.4,65.2,82.9,66,784
"5290",66.3,61.6,82.9,63,784
"5291",66.5,54,77,59,723
"5292",70,51.7,81,57.9,797
"5293",70.6,63,81,57.9,752
"5294",70.7,62.3,80.1,64.9,749
"5295",62.6,53.7,80.1,59,889
"5296",62.8,54,70,55.4,757
"5297",68,54,77,55.9,768
"5298",72.2,56.2,84,61,845
"5299",76,59.6,84.9,62.1,898
"5300",78.4,65.7,88,64.9,757
"5301",69,57.5,88,59,701
"5302",62.5,50.6,73.9,59,718
"5303",66.3,57.4,73.9,59,672
"5304",71.5,57,82,61,739
"5305",73.7,57.2,82,63,798
"5306",75,65.4,82.9,64.9,801
"5307",78,67.6,88,69.1,782
"5308",78,66.1,88,70,711
"5309",68.2,52.4,84,62.1,795
"5310",69.4,57.2,79,62.1,673
"5311",80,70.8,93,63,825
"5312",82.5,70.8,93,73.9,776
"5313",82.1,68.8,93,75.9,764
"5314",77.6,61.5,89.1,68,778
"5315",77.1,57.7,89.1,68,777
"5316",75.9,54.3,84,66.9,774
"5317",77.7,56,86,66.9,810
"5318",79.2,59.2,87.1,66.9,867
"5319",80.8,66.7,91.9,69.1,832
"5320",77.4,64.7,91.9,71.1,802
"5321",80.3,64.2,90,71.1,835
"5322",82.9,66.1,93.9,71.1,767
"5323",83.3,65.7,93.9,73.9,764
"5324",80,54.5,90,69.1,775
"5325",80.7,55.8,90,69.1,782
"5327",82.5,64.6,95,66,822
"5328",77.8,59,95,68,729
"5329",75,53.2,84,64,761
"5330",75.6,56.5,84,64,772
"5331",76.2,60,84,64.9,809
"5332",76.4,57.5,84.9,68,839
"5333",78.1,62,84.9,68,849
"5334",74.6,65.5,84.9,70,745
"5335",77.8,67.6,86,70,809
"5336",75,62.1,86,68,791
"5337",72.7,57.4,82,64.9,760
"5338",75.6,59.9,86,64.9,784
"5339",79.4,65.9,90,66.9,808
"5340",78,67.2,90,70,826
"5341",80.7,68.1,91,72,865
"5342",81.2,67.3,91,72,741
"5343",75.8,66.7,90,70,762
"5344",73.9,62.6,81,69.8,793
"5345",67.2,52,75,60.8,839
"5346",71.7,53.3,84,60.1,858
"5347",75.3,55.5,84,60.1,845
"5348",74.1,58.9,82.9,66,806
"5349",67.4,48.8,79,57,724
"5350",65.4,47.6,75.9,57,767
"5351",64.2,52,73,59,792
"5352",65.5,52.8,75,55.9,764
"5353",68.8,57.3,75.9,55.9,806
"5354",70.8,62.3,75.9,62.1,761
"5355",71,63.9,78.1,66,800
"5356",74.8,65.4,87.1,64.9,745
"5358",82.2,69,91.9,73,801
"5359",83.9,67.6,93,73,875
"5360",76.9,66.9,93,72,815
"5361",76.9,66.5,87.1,72,767
"5362",82.8,65.7,93.9,73,818
"5363",83.6,66.9,93.9,73.9,808
"5364",80,69.1,90,73.9,717
"5365",72.4,61.2,88,68,711
"5366",66.6,56.2,78.1,59,659
"5367",63.4,56,77,59,691
"5368",59.2,46,69.1,54,724
"5369",60.3,44,71.1,50,734
"5370",67.4,47.9,82.9,50,791
"5371",73.7,52,84,55.9,813
"5372",73.5,51.3,84,61,766
"5373",75,58,87.1,61,717
"5374",74.2,66.4,87.1,66,791
"5375",66.8,56.8,79,59,792
"5376",62.4,48.6,72,53.1,811
"5377",64.5,48.8,73,53.1,735
"5378",67.8,50.7,81,55.9,777
"5379",70.6,51,81,57,833
"5380",69.7,55.7,80.1,61,718
"5381",69.6,57.8,78.1,62.1,811
"5382",69.2,57.5,75.9,61,792
"5383",70.1,58.7,75.9,61,802
"5384",72.4,62.9,81,66.9,753
"5385",67.6,58.6,81,60.1,670
"5386",59.2,44.2,72,55.9,678
"5387",57.4,41.3,63,54,889
"5388",56.6,40,62.1,53.1,799
"5389",52.9,39.1,59,50,709
"5390",53.4,46.3,60.1,48.9,654
"5391",58.4,53.2,61,51.1,755
"5392",60.8,54.1,68,57,752
"5393",62.3,53.8,73,55.9,718
"5394",64.5,52.1,79,55,701
"5395",62,50.4,79,55,795
"5396",55.6,42.6,66.9,45,729
"5397",63.3,45.4,80.1,45,735
"5398",68.2,47.1,80.1,53.1,732
"5399",57.5,40.5,77,51.1,741
"5400",54.4,38.7,64.9,45,764
"5401",57.3,35.1,71.1,45,816
"5402",51.1,28.9,71.1,44.1,734
"5403",44.8,21.5,55.9,36,706
"5404",46.8,26.9,61,35.1,675
"5405",57.7,29,73.9,35.1,788
"5406",65,36.3,77,46.9,785
"5407",66.2,49.5,77,55,794
"5408",61.2,48.1,77,55.9,774
"5409",57.4,43.2,64,54,777
"5410",63.8,56.7,68,54,765
"5411",52.8,38.1,68,42.1,728
"5412",52.2,37.6,63,42.1,781
"5413",54.7,41.5,62.1,42.1,651
"5414",53.8,49.5,57.9,46,682
"5415",42.2,31.5,57.9,37.9,669
"5416",46.9,35.8,57,37,776
"5417",48.8,41,57,37,721
"5419",60.3,43.2,73.9,46,785
"5420",61,49,73.9,50,749
"5421",60.3,53.5,73,50,791
"5422",65.6,56.2,73,50,755
"5423",55.8,46.9,71.1,46,747
"5424",46.4,33.8,66.9,37.9,691
"5425",44,26.4,55,34,705
"5426",46.1,28,55.9,34,684
"5427",48.9,33.4,57.9,35.1,640
"5428",51.7,35.6,64,37.9,688
"5429",49.7,40.6,64,43,693
"5430",43.3,26.1,57.9,37,679
"5431",42.3,25.6,57.9,30.9,696
"5432",54.1,32.6,66,30.9,722
"5433",53.1,33.8,66,44.1,744
"5434",53.1,47.2,60.1,48,668
"5435",60.1,49.2,63,48.9,683
"5436",46,29.7,63,41,696
"5437",38.2,16.1,50,33.1,714
"5438",33.6,30.1,43,28.9,528
"5439",21.4,13.2,35.1,12.9,520
"5440",31,21.6,39,12.9,650
"5441",34.7,27.1,45,26.1,607
"5442",44.7,32.2,53.1,26.1,620
"5443",55,46,62.6,50,589
"5444",47.6,42.1,62.1,37.9,613
"5445",39,29.3,39.9,37,658
"5446",36.8,27.7,43,30,612
"5447",42.1,29.7,46,30,668
"5448",43.5,35.8,46,39,797
"5449",36.5,30.1,45,33.1,716
"5450",34.2,26.9,39,30.9,710
"5451",38.3,31.5,48,30.9,700
"5452",36.3,30.8,48,30,707
"5453",38.7,31.2,48,30,687
"5454",37.2,33.2,48,32,689
"5455",41.9,36.1,46.9,33.1,733
"5456",48.2,39.8,54,43,685
"5457",50,37.8,60.1,43,690
"5458",49.1,34.3,60.1,43,742
"5459",55.3,49.8,60.1,44.1,752
"5460",59.7,55.1,64,51.1,652
"5461",56.5,50,64,46.9,739
"5462",43.2,35.3,46.9,41,793
"5463",45.1,37.6,55,42.1,722
"5464",34.9,22.9,55,30.9,728
"5465",29.8,16.5,36,26.1,653
"5466",25.3,12.1,33.1,17.1,666
"5467",37.8,22.2,51.1,17.1,693
"5468",47.8,39.3,54,28,650
"5469",41.6,37,54,37,694
"5470",50.6,46.1,61,37,754
"5471",43.2,33.3,57.9,35.6,675
"5472",41.2,32.6,46,36,498
"5473",41.6,34.5,46,36,640
"5474",41.2,35.4,45,36,627
"5475",35.4,27.7,43,32,516
"5476",35.5,30.3,42.1,32,624
"5477",30.3,22.9,41,28,603
"5478",28.5,20.4,28.9,28,611
"5480",28.6,19.2,33.1,21.9,576
"5481",28.8,18.7,33.1,24.1,618
"5482",28.5,17.3,32,25,626
"5483",27.5,16.9,34,21,627
"5484",31.1,20.3,39,25,628
"5485",38.6,24.3,43,36,707
"5486",41.9,34.6,45,39,743
"5487",40.5,37.2,46.4,33.1,650
"5488",20.6,13.1,34,8.1,597
"5489",8.3,-0.8,21.9,1.9,513
"5490",16.2,6.3,26.6,8.1,548
"5491",9,-0.1,24.1,1.9,654
"5492",33.9,24.8,45,23,734
"5493",41.1,34.5,45,34,734
"5494",30.4,20.3,34,27,652
"5495",9.6,-3.8,25,3.2,537
"5496",2.8,-10.8,10,-2,515
"5497",8.1,-5.3,18,1.9,610
"5498",18.8,8.5,25,12.9,619
"5499",21.3,12.6,32,16,634
"5500",27.3,18.6,32,21,701
"5501",30,19,35.6,25,722
"5502",29.1,18.3,37,24.1,675
"5503",34.3,25.4,41,28.9,744
"5504",33.5,27,43,28.9,640
"5505",29.1,16.6,34,26.1,669
"5506",35.7,26,41,33.1,751
"5507",30.5,14.5,36,24.1,746
"5508",39.9,29,48.9,34,743
"5509",44.6,39.2,48.9,39.9,665
"5510",37.1,30.2,46.9,30.9,853
"5511",37.1,31.5,42.1,35.1,614
"5512",37.3,33.6,39.9,33.1,682
"5513",28.1,16.6,33.1,21,670
"5514",30.5,20.7,34,27,660
"5515",32.3,22.4,42.1,26.1,695
"5516",39.8,28.6,46,34,617
"5517",32.4,23.4,43,28,570
"5518",20.4,11.8,28,17.1,545
"5519",15.2,2.4,19,10.9,565
"5520",15.4,-0.8,24.1,9,582
"5521",21,5.2,25,18,647
"5522",11.5,-9,19,3.9,597
"5523",15.8,1.9,19,12.9,514
"5524",22.5,17.7,28.9,17.1,553
"5525",29.2,22.3,37,26.1,625
"5526",30.8,20.9,36,27,641
"5527",32.5,21.3,42.1,26.1,681
"5528",50.2,34.6,64.9,39.9,775
"5529",51.2,30.9,60.1,42.1,702
"5530",41.5,30.9,53.1,36,707
"5531",36.7,25.5,45,28,639
"5532",37.9,24.6,46,30.9,630
"5533",36.4,26.2,39.9,32,578
"5534",34.4,23.8,37.9,32,699
