"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Mon","Tue","Wed","Thu","Fri","Sat","Sun","year","dayindex","temp","dewp","min","max","NUM_REPORTS"
"1",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.315589353612167,0.360639360639361,0.33041788143829,0.269811320754717,0.111111111111111
"2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000175131348511384,0.370722433460076,0.44955044955045,0.417881438289602,0.291509433962264,0.111111111111111
"3",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.000350262697022767,0.430608365019011,0.478521478521478,0.452866861030126,0.371698113207547,0
"4",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000525394045534151,0.373574144486692,0.411588411588412,0.382896015549077,0.354716981132076,0.333333333333333
"5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000700525394045534,0.414448669201521,0.471528471528471,0.452866861030126,0.354716981132076,0
"6",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000875656742556918,0.301330798479087,0.333666333666334,0.310981535471331,0.254716981132075,0.111111111111111
"7",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0010507880910683,0.35361216730038,0.393606393606394,0.382896015549077,0.354716981132076,0.111111111111111
"8",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00122591943957968,0.407794676806084,0.45054945054945,0.428571428571429,0.395283018867924,0.444444444444444
"9",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.00140105078809107,0.418250950570342,0.495504495504495,0.466472303206997,0.367924528301887,0
"10",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00157618213660245,0.446768060836502,0.531468531468531,0.522837706511176,0.371698113207547,0
"11",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00175131348511384,0.456273764258555,0.532467532467532,0.516034985422741,0.376415094339623,0.111111111111111
"12",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00192644483362522,0.452471482889734,0.555444555444555,0.522837706511176,0.371698113207547,0
"13",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0021015761821366,0.413498098859316,0.49050949050949,0.466472303206997,0.339622641509434,0.222222222222222
"14",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00227670753064799,0.345057034220532,0.422577422577423,0.379008746355685,0.320754716981132,0
"15",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.00245183887915937,0.378326996197719,0.435564435564435,0.435374149659864,0.30377358490566,0
"16",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00262697022767075,0.324144486692015,0.356643356643357,0.382896015549077,0.269811320754717,0.111111111111111
"17",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00280210157618214,0.29277566539924,0.32967032967033,0.310981535471331,0.283018867924528,0.222222222222222
"18",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00297723292469352,0.321292775665399,0.365634365634366,0.347910592808552,0.30377358490566,0
"19",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0031523642732049,0.328897338403042,0.341658341658342,0.341107871720117,0.273584905660377,0
"20",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00332749562171629,0.357414448669202,0.393606393606394,0.379008746355685,0.320754716981132,0
"21",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00350262697022767,0.30893536121673,0.341658341658342,0.341107871720117,0.291509433962264,0
"22",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00367775831873905,0.429657794676806,0.524475524475524,0.452866861030126,0.388679245283019,0
