"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Mon","Tue","Wed","Thu","Fri","Sat","Sun","temp","dewp","max","min","NUM_REPORTS"
"56",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,15.2,-2.2,33.1,9,158
"57",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,14.7,3.4,27,6.1,154
"58",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,34.1,23.6,46,25,193
"59",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,37.1,28.2,46,26.1,181
"60",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,40,27.1,52,28,199
"61",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,43.9,38.1,54,28,187
"62",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,44.7,34.4,54,36,180
"63",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,44.9,27.7,57.9,33.1,209
"64",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,50.6,31.5,64.9,33.1,204
"65",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,52.5,38.6,64.9,41,232
"66",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,47.6,33.3,64,34,240
"67",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,61.3,39,73.9,51.1,213
"68",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,44.1,25.4,73.9,36,191
"69",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,38.8,14.2,50,30,187
"70",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,44.4,16.9,50,30,198
"71",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,44,33.1,52,39,198
"72",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,43,34.9,52,37.9,173
"73",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,34.8,22.1,50,30.9,183
"74",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,31.4,25.2,37,30,162
"75",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,32.4,21.6,39,25,144
"76",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,40.7,34.3,43,25,182
"77",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,39.7,28.4,46,35.1,177
"78",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,30.8,16.8,46,25,161
"79",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,29.2,10.7,37,21,179
"80",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,34.9,19.8,48.9,21,171
"81",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,49.1,31,64,28,171
"82",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,50.1,35.7,64,37,192
"83",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,55.9,36.2,73.9,41,231
"84",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,60.6,43.2,73.9,41,205
"85",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,52,31.8,68,39,178
"86",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,42.9,24.1,61,30.9,188
